Timestamp,ID,CGPA,Self_Learning_SCORE,Memory_Capability_SCORE,Programming_CONTEST,Code_Force_PRACTICE,KAGGLE_PRACTICE,Study_Hours_PER_DAY,NUMBER_OF_INTERNSHIP,JOB_ROLE,Specialization
4/2/2022 18:53:40,1817537,3.61,5,5,0,0,0,3,0,No job,Data Science
4/2/2022 19:09:15,1817733,3.57,6,7,0,0,0,2,0,No job,Data Science
4/2/2022 19:12:04,1618745,3.93,8,8,3,2,3,5,3,Data Scientist,Data Science
4/2/2022 20:15:31,1622354,3.42,6,6,1,2,1,2,1,App Developer,Software Engineering
4/3/2022 20:48:20,1637989,3.62,6,4,3,5,0,6,2,ML engineer,Data Science
4/3/2022 20:54:11,1612356,3.78,6,6,0,0,0,6,1,ML engineer,Data Science
4/3/2022 21:00:22,1712489,3.56,6,6,3,3,2,6,2,Software Engineer,Software Engineering
4/3/2022 21:03:56,1715494,3.69,6,7,3,6,2,6,2,Data Analyst,Data Science
4/3/2022 21:08:28,1623399,3.95,7,8,2,0,0,8,2,Network engineer,Network and Security
4/3/2022 21:27:28,1712556,3.85,5,5,0,0,0,4,0,Web Designer,Software Engineering
4/3/2022 21:29:56,1639878,3.65,7,5,1,3,2,5,2,Data Analyst,Data Science
4/3/2022 21:38:18,1614898,3.72,6,4,2,2,0,5,1,App Developer,Software Engineering
4/3/2022 22:15:38,1625489,3.68,6,6,0,0,0,3,1,Data Analyst,Data Science
4/3/2022 22:17:23,1714532,3.59,5,5,0,3,0,2,2,Data Engineer,Data Science 
4/3/2022 22:23:21,1624111,3.2,6,6,2,6,0,4,2,Software Engineer,Software Engineering
4/3/2022 22:25:08,1624121,3.32,5,6,3,6,0,5,1,Software Engineer,Software Engineering
4/3/2022 22:33:23,1624132,3.57,7,7,2,4,0,4,2,Web developer,Software Engineering
4/3/2022 22:46:37,1624231,3.51,6,6,0,0,0,8,2,Network Engineer,Network and Security
4/3/2022 23:01:31,1624333,3.66,5,6,0,0,0,5,1,Cyber Security Analyst,Network and Security
4/4/2022 13:04:45,1625411,3.62,6,5,0,0,0,2,0,Data Analyst,Data Science
4/4/2022 13:07:39,1632569,3.48,6,6,0,0,0,4,0,Data Analyst,Data Science
4/4/2022 13:19:38,1618793,3.39,7,7,0,0,0,5,4,Network Engineer,Network and Security
4/4/2022 14:47:19,1619878,3.66,6,4,0,0,0,2,2,Web Developer,Software Engineering
4/4/2022 14:48:39,1712598,3.82,7,7,2,3,0,4,1,Data Engineer,Data Science
4/4/2022 14:50:06,1719845,3.59,8,8,3,6,0,5,2,Software Engineer,Software Engineering
4/4/2022 14:52:31,1635968,3.71,6,6,0,0,0,3,1,Data Analyst,Data Science
4/4/2022 15:23:56,1615498,3.65,9,6,3,5,0,5,2,Software Engineer,Software Engineering
4/4/2022 15:40:10,1625848,3.63,5,6,0,0,0,3,1,Data Analyst,Data Science
4/4/2022 15:42:00,1512489,3.66,5,2,1,3,0,3,2,Software Engineer,Software Engineering
4/4/2022 15:46:48,1523654,3.61,5,5,0,0,0,5,4,Software Engineer,Software Engineering
4/4/2022 20:31:32,1532645,3.66,6,5,0,0,0,6,2,Network Engineer,Network and Security
4/4/2022 20:36:24,1615489,3.74,6,6,0,0,0,5,2,Web Developer,Software Engineering
4/4/2022 20:39:04,1623545,3.29,5,5,3,6,2,6,3,Software Engineer,Software Engineering
4/4/2022 20:40:44,1632589,3.57,6,5,2,3,0,3,2,Data Engineer,Data Science
4/4/2022 20:52:30,1613545,3.45,6,6,0,0,0,3,2,Data Analyst,Data Science
4/4/2022 20:54:53,1523645,3.55,6,6,1,3,3,5,2,App Developer,Software Engineering 
4/4/2022 20:57:42,1613256,3.61,7,5,2,3,1,4,3,ML engineer,Data Science
4/4/2022 21:01:39,1629856,3.7,6,5,1,3,1,4,1,ML engineer,Data Science 
4/4/2022 21:04:52,1619647,3.68,7,5,0,0,0,5,2,Web Developer,Software Engineering 
4/4/2022 21:07:27,1625849,3.59,7,5,0,0,0,3,2,Cyber Security Analyst,Network and Security
4/4/2022 21:09:59,1623456,3.73,8,5,0,0,0,3,2,Cyber Security Analyst,Network and Security
4/4/2022 21:11:20,1632584,3.73,7,5,0,0,0,4,2,Cyber Security Analyst,Network and Security
4/4/2022 21:13:20,1712548,3.74,6,6,0,0,0,4,1,Cyber Security Analyst,Network and Security
4/4/2022 21:18:47,1719564,3.76,7,6,0,0,0,3,2,Cyber Security Analyst,Network and Security
4/4/2022 21:20:49,1634952,3.8,7,5,0,0,0,4,2,Cyber Security Analyst,Network and Security
4/4/2022 21:24:05,1625648,3.63,8,5,0,0,0,4,2,Cyber Security Analyst ,Network and Security 
4/4/2022 21:26:15,1612345,3.53,6,6,0,0,0,5,3,Cyber Security Analyst,Network and Security
4/4/2022 21:31:18,1624565,3.68,7,5,0,0,0,3,2,Cyber Security Analyst,Network and Security 
4/4/2022 21:41:27,1632546,3.48,7,5,3,4,2,4,2,Web Developer,Software Engineering 
4/4/2022 21:43:39,1623546,3.41,8,5,5,10,2,2,2,Software Engineer,Software Engineering 
4/4/2022 21:46:49,1635486,3.53,8,6,4,3,3,5,3,App Developer ,Software Engineering 
4/4/2022 21:50:25,1629848,3.49,8,6,3,5,1,4,3,Web Developer ,Software Engineering 
4/4/2022 22:00:01,1638459,3.71,8,7,5,9,2,4,4,Software Engineer,Software Engineering 
